segment, year, union
Education, 2003-01-01, 12.1
Education, 2004-01-01, 13.0
Education, 2005-01-01, 13.1
Education, 2006-01-01, 13.5
Education, 2007-01-01, 12.6
Education, 2008-01-01, 13.8
Education, 2009-01-01, 12.9
Education, 2010-01-01, 13.0
Education, 2011-01-01, 13.0
Education, 2012-01-01, 12.4
Education, 2013-01-01, 12.9
Manufacturing, 2003-01-01, 13.5
Manufacturing, 2004-01-01, 12.9
Manufacturing, 2005-01-01, 13.0
Manufacturing, 2006-01-01, 11.7
Manufacturing, 2007-01-01, 11.3
Manufacturing, 2008-01-01, 11.4
Manufacturing, 2009-01-01, 10.9
Manufacturing, 2010-01-01, 10.7
Manufacturing, 2011-01-01, 10.5
Manufacturing, 2012-01-01, 9.6
Manufacturing, 2013-01-01, 10.1
